game_id,game_name,company,genre_tags,is_google_play,is_app_store,is_one_store,is_galaxy_store,description,icon_url
GAME_0001,메이플 키우기,넥슨,RPG; 시뮬레이션,TRUE,TRUE,FALSE,FALSE,메이플스토리 감성으로 쉽고 빠르게 성장하는 방치형 RPG,https://play-lh.googleusercontent.com/iqpY1xJzA5iIQdnHxk-IOfQFESViwUyTQ1AIwF1_i3kd8sQTTQDrkMLys26QqSb9tG35M5FTw2VjQuCcoe3MJA=w480-h960-rw
GAME_0002,리니지M,NCSOFT,RPG; 전략,TRUE,TRUE,FALSE,TRUE,PC 리니지의 가치를 모바일로 재현한 MMORPG,https://play-lh.googleusercontent.com/xy6xR7NsdX81HpwWu8CoVkseQECAug3pLvvpdBGtls12xwiQy3Qw5hvQ51fc3oTXPmI8xyOArPnm70t8395Mmdw=w480-h960-rw
GAME_0003,승리의 여신: 니케,시프트업,RPG; 액션/슈팅,TRUE,TRUE,FALSE,FALSE,인류 구원을 위해 싸우는 미소녀 건슈팅 RPG,https://play-lh.googleusercontent.com/JK5mejs0bVT_9613gCxNfCjRw_m3JiQ4wC8B8Kt471yu7ThFQazVkCLTfPZ81hnenft7ilaE-qSwVGpQT6sEFcY=s96-rw
GAME_0004,Roblox (로블록스),Roblox Corporation,메타버스/AR; 캐주얼,TRUE,TRUE,FALSE,TRUE,유저들이 직접 만든 가상 세계를 탐험하는 메타버스 플랫폼,https://play-lh.googleusercontent.com/QqZj22aXblAyYDxLQw-Gg0ycW0QkKhrDnwqgERZU9BMRXZnMlgXfq-94sikG5mEpt_I0lzZxcUzfLblmQgwYzUE=s96-rw
GAME_0005,운빨존많겜,111%,전략; 캐주얼,TRUE,TRUE,FALSE,FALSE,운과 전략으로 협동하여 적을 막아내는 디펜스 게임,https://play-lh.googleusercontent.com/QqZj22aXblAyYDxLQw-Gg0ycW0QkKhrDnwqgERZU9BMRXZnMlgXfq-94sikG5mEpt_I0lzZxcUzfLblmQgwYzUE=s96-rw
GAME_0006,컴투스프로야구V26,컴투스,스포츠; 시뮬레이션,TRUE,TRUE,TRUE,FALSE,리얼리티 최고봉 KBO 모바일 야구 대표 게임,https://play-lh.googleusercontent.com/lFrail_ogSgoETUZcsAgLG7gC4lvjcOdffEURRt5kTAaIbr3pdm7s7hrIQNMl-jTu_Hbw7NDuU9gpJZDRsqY=s96-rw
GAME_0007,마비노기 모바일,넥슨,RPG,TRUE,TRUE,FALSE,TRUE,마비노기 특유의 따뜻한 감성과 생활형 모험을 담은 MMORPG,https://play-lh.googleusercontent.com/ljE3Q4kOQj0UEjbJoANQpgQ4rxdDvI1h1wARGv6jFgel-5oDIFjfTx2S0nINT8agCEOB_V3C9y61RZFoyLZ4=s96-rw
GAME_0008,오딘: 발할라 라이징,카카오게임즈,RPG,TRUE,TRUE,FALSE,FALSE,북유럽 신화 세계관 배경의 대규모 심리스 MMORPG,https://play-lh.googleusercontent.com/65JquVIM391Il8M5oXrUzwTOFvFn72Yef4EJGWLBp190MflgritBJqiMuSjoK_ZeA2jF53OV9rRNgAXRm8_scQ=s96-rw
GAME_0009,트릭컬 리바이브,에피드게임즈,RPG,TRUE,TRUE,FALSE,FALSE,귀여운 볼따구 수집형 액션 서브컬처 RPG,https://play-lh.googleusercontent.com/OCiuBv70Dnuw9wcGet3EtTUF2nEkS1vhYYkvOahe9-MmKg6EhxGkf-9ZVxnWIJXflQSmfOIjTcaSbwJSJyuzHA=w480-h960-rw
GAME_0010,붕괴: 스타레일,Hoyoverse,RPG,TRUE,TRUE,FALSE,TRUE,은하 열차를 타고 우주를 개척하는 턴제 RPG,https://play-lh.googleusercontent.com/aWrGocSA7hEuk1qAPe7L4T57LvLKrwwH26cK2_LOqxRQMQX7j3uHYojC-EKWgYEV2PdrmE0ahqvvhLhXrAGk6Q=s96-rw
GAME_0011,FC 모바일,넥슨,스포츠; 시뮬레이션,TRUE,TRUE,FALSE,TRUE,실시간 축구 경기를 즐기는 모바일 스포츠 게임,https://play-lh.googleusercontent.com/VKo4cXzxFpu7d5ua0Exk9QB7B7wz8ePAON_Km1lkIowLCf4kpww9alW6HUy-kQ50Kimy86PG1ivGFhayc7hb=s96-rw
GAME_0012,한게임 포커,NHN,보드/카드,TRUE,TRUE,TRUE,TRUE,포커 홀덤 바카라를 모바일 원작 감성 그대로 구현한 웹보드,https://play-lh.googleusercontent.com/Imi0dOs8mMcOxNvc4MGXbfdG1QNKgE70v1DYU4GTIXPlbCy5RGoC-XjBRdEwvb-jDGXAXFj9j43c7flORYphv7I=w480-h960-rw
GAME_0013,한게임포커 클래식,NHN,보드/카드,TRUE,TRUE,FALSE,TRUE,7포커 홀덤 섯다 훌라 슬롯을 제공하는 클래식 포커,https://play-lh.googleusercontent.com/Hv-D0Heegr2EW_eyGcfNv-HzI_WRrjxMqnN575pY17XaRfXA4wjmAtTwWsO_ON6WqVtTP0ajH2bKKRDx6CNXhQ=s96-rw
GAME_0014,AION2,NCSOFT,RPG,TRUE,TRUE,FALSE,FALSE,아이온 IP 세계관을 계승하는 차세대 모바일 MMORPG,https://play-lh.googleusercontent.com/aqqsbPuYk-dU9f0qnyEkHje_IIchFrOhDQfDXozQbD5_n_Hxi18ja4GyEbNYuFD9inoFBUYfZFWK4zSOjsy8Aw=w480-h960-rw
GAME_0015,뱀피르,넷마블,RPG,TRUE,TRUE,FALSE,FALSE,뱀파이어 신화 배경의 정통 다크 판타지 MMORPG,https://play-lh.googleusercontent.com/O3AtBJqCPmOHow-d2tskDjwXGWpYpgz2bPEJC5s-FQ1BzmtxnFTQ4h6OTTJ74pyih8KBs78UsTk7w6PAHkbt=s96-rw
GAME_0016,몬길,넷마블,RPG; 액션/슈팅,TRUE,TRUE,FALSE,FALSE,몬스터 길들이기 IP 기반의 모바일 수집형 액션 RPG,https://play-lh.googleusercontent.com/cjDSyrhTFt_cq5wO3GOtDOWoiGO2vfxKxRcSUT66Cx8eo-JhYC6FAdvreQIFTXjN9--gWGA46LMJZ9kPRFjFiA=s96-rw
GAME_0017,EA SPORTS FC Online M,넥슨,스포츠; 시뮬레이션,TRUE,TRUE,TRUE,TRUE,PC FC 온라인의 이적시장과 구단을 모바일로 연동하는 축구 게임,https://play-lh.googleusercontent.com/3kHUd_bPqo2Mz00jcm8gxIjgawGnkg1w7V1KZfQ-UalXUj8QrLwqmGxpUNniLQ4o3exMUCl_lKa5KOolaOqBFdo=s96-rw
GAME_0018,스톤에이지 키우기,넷마블,RPG; 시뮬레이션,TRUE,TRUE,FALSE,FALSE,스톤에이지 IP 공룡 펫을 육성하는 방치형 RPG,https://play-lh.googleusercontent.com/mHJqRu4jWQURdoJTkJYcqPvd1atYDkx4EGEuv3olhT8MFdDW1jYNGyFLmOkr8plJmQZmmSc7v744iYJk09Nc7A=w480-h960-rw
GAME_0019,그놈은 드래곤,HongKong GameTree,RPG; 캐주얼,TRUE,TRUE,TRUE,FALSE,드래곤을 육성하고 모험하는 아기자기한 방치형 RPG,https://play-lh.googleusercontent.com/kxqm89jGpPR_rQgkItp-3z_iiTKqGyANOy_hX5FnMLdUGnrXCzIoUJQbjKooLliIVJSdifkA7k8l_7zJ18c5SA=s96-rw
GAME_0020,한게임 섯다&맞고,NHN,보드/카드,TRUE,TRUE,TRUE,TRUE,손맛 살아있는 짜릿한 심리전의 대한민국 대표 섯다 맞고,https://play-lh.googleusercontent.com/CqdDCCaoUKuuANbhIfbCWehb2UTPN6YPbucx6KUzurF6WebH10KPaG46AG-fBCl9w1hAnOqbr2psIJtQFoUOaHw=s96-rw
GAME_0021,브롤스타즈,Supercell,액션/슈팅; 캐주얼,TRUE,TRUE,FALSE,FALSE,다양한 캐릭터와 모드로 펼쳐지는 3v3 실시간 슈팅,https://play-lh.googleusercontent.com/c0hXyphuxh-gpnhSJGZV1I0IpWbq9IdEc1pautS7SmHlXNBrCff7bMqK-u63pJdfP3KJoxamG7W1dRMKr7ZzWKs=s96-rw
GAME_0022,리니지W,NCSOFT,RPG,TRUE,TRUE,FALSE,FALSE,글로벌 유저들과 전투를 즐기는 다크 판타지 MMORPG,https://play-lh.googleusercontent.com/VvwlyO5rMOgeedcbDmvBQv-vDoCeHqxBdSHqTrA3xUZAEuRcAwTBznrJBwkj3_xvhUTkLJ4D98RT1fZTtu8W=s96-rw
GAME_0023,컴투스프로야구2026,컴투스,스포츠; 시뮬레이션,TRUE,TRUE,TRUE,TRUE,KBO 공식 라이선스 기반 리얼리티 모바일 야구 게임,https://play-lh.googleusercontent.com/USu399MNae-G38uLpGuxcquzIG4c7EM2WfNDa0g_fKIuiPHHMFyL_SIcUO4LhxeWhxJahTEIREeZ_iwnD7_qxA=s96-rw
GAME_0024,SD건담 지 제네레이션 이터널,Bandai Namco,RPG; 전략,TRUE,TRUE,FALSE,TRUE,모든 건담 시리즈가 총출동하는 시뮬레이션 전략 RPG,https://play-lh.googleusercontent.com/umWX9qJUcTLA-QIkGeYL_dxhLyDQc4UYYXMwC2MV4Pde2ti_TIOE_mzv6Wafm5SYAA7ZTBCuw27tDM_yfBPxRMY=s96-rw
