rank,game_name,app_store_id,app_store_url,app_store
1,CookieRun: Crumble - Idle RPG,6749251466,https://apps.apple.com/kr/app/id6749251466,True
2,Whiteout Survival,6443575749,https://apps.apple.com/kr/app/id6443575749,True
3,Gossip Harbor®: Merge & Story,1623318294,https://apps.apple.com/kr/app/id1623318294,True
4,Kingshot,6739554056,https://apps.apple.com/kr/app/id6739554056,True
5,Lucky Defense!,6482291732,https://apps.apple.com/kr/app/id6482291732,True
6,Royal Match,1482155847,https://apps.apple.com/kr/app/id1482155847,True
7,컴투스프로야구V26,1458848044,https://apps.apple.com/kr/app/id1458848044,True
8,Last War:Survival,6448786147,https://apps.apple.com/kr/app/id6448786147,True
9,Tasty Travels: Merge Game,6471045672,https://apps.apple.com/kr/app/id6471045672,True
10,Gardenscapes,1105855019,https://apps.apple.com/kr/app/id1105855019,True
11,eFootballTM,1117270703,https://apps.apple.com/kr/app/id1117270703,True
12,Seaside Escape®: Merge & Story,6443755785,https://apps.apple.com/kr/app/id6443755785,True
13,Mafia42: Mafia Party Game,947258826,https://apps.apple.com/kr/app/id947258826,True
14,Last Asylum: Plague,6756989323,https://apps.apple.com/kr/app/id6756989323,True
15,Homescapes: Match 3 Games,1195621598,https://apps.apple.com/kr/app/id1195621598,True
16,Brawl Stars,1229016807,https://apps.apple.com/kr/app/id1229016807,True
17,Wuthering Waves - To Xuanfang,6475033368,https://apps.apple.com/kr/app/id6475033368,True
18,Coop TD: Together,6503702666,https://apps.apple.com/kr/app/id6503702666,True
19,Zenless Zone Zero - Anniv.,1606356401,https://apps.apple.com/kr/app/id1606356401,True
20,Pokémon GO,1094591345,https://apps.apple.com/kr/app/id1094591345,True
21,Zombie High School,898986747,https://apps.apple.com/kr/app/id898986747,True
22,GODDESS OF VICTORY: NIKKE,1585915174,https://apps.apple.com/kr/app/id1585915174,True
23,Dragon Village 3,6499562253,https://apps.apple.com/kr/app/id6499562253,True
24,Merge Cooking®,1643509748,https://apps.apple.com/kr/app/id1643509748,True
25,StoneAge: Idle Adventure,6737408689,https://apps.apple.com/kr/app/id6737408689,True
26,Township,638689075,https://apps.apple.com/kr/app/id638689075,True
27,KartRider Rush+,1466736988,https://apps.apple.com/kr/app/id1466736988,True
28,Candy Crush Saga,553834731,https://apps.apple.com/kr/app/id553834731,True
29,Travel Town - Merge Adventure,1521236603,https://apps.apple.com/kr/app/id1521236603,True
30,CookieRun: Kingdom,1509450845,https://apps.apple.com/kr/app/id1509450845,True
31,Honkai: Star Rail,1599719154,https://apps.apple.com/kr/app/id1599719154,True
32,CookieRun: OvenBreak,963067330,https://apps.apple.com/kr/app/id963067330,True
33,Seven Knights Re:BIRTH,6479595079,https://apps.apple.com/kr/app/id6479595079,True
34,Cell Survivor - Shoot Defense,6746465127,https://apps.apple.com/kr/app/id6746465127,True
35,Hollywood Merge,6755455500,https://apps.apple.com/kr/app/id6755455500,True
36,League of Legends: Wild Rift,1480616990,https://apps.apple.com/kr/app/id1480616990,True
37,Jujutsu Kaisen Phantom Parade,6475925341,https://apps.apple.com/kr/app/id6475925341,True
38,Arknights: Endfield,6752642477,https://apps.apple.com/kr/app/id6752642477,True
39,Cat Hero : Idle RPG,6446516059,https://apps.apple.com/kr/app/id6446516059,True
40,Heartopia,6746151928,https://apps.apple.com/kr/app/id6746151928,True
41,Dragon Traveler,6751086804,https://apps.apple.com/kr/app/id6751086804,True
42,Forge Master – Idle RPG,6746636289,https://apps.apple.com/kr/app/id6746636289,True
43,Mobile Legends: Bang Bang,1160056295,https://apps.apple.com/kr/app/id1160056295,True
44,Project Makeover,1483058899,https://apps.apple.com/kr/app/id1483058899,True
45,Minecraft: Play with Friends!,479516143,https://apps.apple.com/kr/app/id479516143,True
46,Hotel Legacy: Merge Game,6752886832,https://apps.apple.com/kr/app/id6752886832,True
47,Fishdom,664575829,https://apps.apple.com/kr/app/id664575829,True
48,Clash Royale,1053012308,https://apps.apple.com/kr/app/id1053012308,True
49,Foodstars: Merge & Cook,6753862216,https://apps.apple.com/kr/app/id6753862216,True
50,피망 뉴맞고 : 고스톱으로 대한민국 1등,1458568643,https://apps.apple.com/kr/app/id1458568643,True
51,Toon Blast,1176027022,https://apps.apple.com/kr/app/id1176027022,True
52,Dark War:Survival,6670441558,https://apps.apple.com/kr/app/id6670441558,True
53,Idle Cat Gunner: Shooter RPG,6764201639,https://apps.apple.com/kr/app/id6764201639,True
54,MLB 9 Innings Rivals 26,1580691683,https://apps.apple.com/kr/app/id1580691683,True
55,Age of Origins:Tower Defense,1376515087,https://apps.apple.com/kr/app/id1376515087,True
56,Merge Teahouse,6749302379,https://apps.apple.com/kr/app/id6749302379,True
57,Clash of Clans,529479190,https://apps.apple.com/kr/app/id529479190,True
58,Slayer Legend,1635712706,https://apps.apple.com/kr/app/id1635712706,True
59,Foundation: Galactic Frontier,6737595599,https://apps.apple.com/kr/app/id6737595599,True
